state,x,y
Луцьк,-239.0,164.0
Львов,-278.0,80.0
Ужгород,-309.0,3.0
Рівне,-177.0,154.0
Тернопіль,-210.0,59.0
Івано-Франківськ,-249.0,29.0
Чернівці,-201.0,-5.0
Житомир,-107.0,135.0
Хмельницький,-160.0,68.0
Вінниця,-95.0,38.0
Київ,-21.0,120.0
Чернігів,32.0,173.0
Черкаси,15.0,50.0
Кіровоград,40.0,5.0
Одеса,-38.0,-56.0
Миколаїв,28.0,-50.0
Херсон,107.0,-107.0
Сімферополь,116.0,-191.0
Суми,113.0,156.0
Полтава,103.0,79.0
Дріпропетровськ,153.0,9.0
Запоріжжя,166.0,-39.0
Харків,199.0,90.0
Донецьк,255.0,-15.0
Луганськ,313.0,51.0
